rank,gram,global_count
116,D5D5,113408
117,4812,113254
118,5600,113000
119,7171,112975
120,FF83,112902
121,6C6C,111814
122,0016,110116
123,8B00,110066
124,4040,109847
125,7373,108898
126,3333,108558
127,8585,108503
128,FCFC,108289
129,F001,107914
130,114B,107643
131,4B11,107459
132,0059,107155
133,A100,106917
134,0A0A,106640
135,0B00,106077
136,FDFF,105877
137,00C7,105674
138,000C,104927
139,E9E9,104628
140,00C8,104198
141,8269,104162
142,6982,104135
143,E369,103833
144,694E,103816
145,6991,103801
146,69E3,103796
147,0D0D,103763
148,9169,103751
149,4E69,103739
150,C800,103623
151,691B,103617
152,1B69,103375
153,0700,102964
154,00EB,102716
155,0909,102343
156,0707,102125
157,2700,102006
158,9898,101829
159,0056,101627
160,0053,101565
161,4600,101507
162,C6C6,101402
163,E300,100736
164,00C0,100542
165,0012,100330
166,7200,99531
167,4949,99465
168,0030,99231
169,01F0,99150
170,0F00,98996
171,FDFD,98898
172,B9B9,98857
173,0005,98840
174,6800,98693
175,2A2A,98498
176,00E3,98390
177,4A4A,98092
178,0505,97772
179,50FF,97692
180,8945,97682
181,33C0,97278
182,FB06,97148
183,8BFF,97136
184,4200,96975
185,3E3E,96903
186,6E6E,96681
187,4500,96656
188,F906,96641
189,06F9,96633
190,3000,96470
191,06F1,96341
192,F106,96324
193,487A,96176
194,06FB,96171
195,0057,96088
196,6A6A,96080
197,4444,96038
198,E0E0,95991
199,0027,95843
200,2727,95148
201,0072,95088
202,8648,94978
203,4886,94964
204,06D3,94895
205,D306,94774
206,4809,94727
207,E800,94679
208,4B4C,94608
209,0948,94596
210,1414,94581
211,00FE,94322
212,7A48,94124
213,5521,93997
214,6E00,93907
215,3939,93837
216,2155,93797
217,5555,93671
218,EA00,93583
219,9700,93555
220,0F0F,93516
221,8383,93451
222,4B3C,93016
223,4C4B,93010
224,48D3,92905
225,D348,92738
226,3C4B,92685
227,934B,92605
228,4B93,92549
229,32D1,92529
230,D132,92237
231,7B00,92181
232,00EA,92134
233,4BBB,92132
234,F506,91980
235,BB4B,91925
236,0097,91881
237,1400,91865
238,2F00,91850
239,2760,91673
240,063D,91666
241,3D06,91638
242,06F5,91604
243,5700,91486
244,556E,91420
245,558B,91296
246,2400,91274
247,F8F8,91160
248,A206,91059
249,002F,91030
250,06A2,90840
251,007B,90809
252,6C00,90537
253,607B,90184
254,0028,90142
255,7575,90142
256,7B60,90081
257,60E3,90073
258,C3C3,90067
259,6027,89990
260,C860,89926
261,6868,89895
262,60EA,89824
263,EA60,89777
264,0044,89771
265,E360,89754
266,60C8,89533
267,2800,89476
268,C0C0,89427
269,C000,89089
270,6E55,88895
271,5D5D,88767
272,2E2E,88215
273,1C00,88143
274,2524,87798
275,6F00,87673
276,2425,87580
277,24D1,87343
278,248A,87142
279,006E,87139
280,0055,87117
281,7500,87090
282,1200,87069
283,4D4D,86869
284,8100,86718
285,D124,86649
286,006F,86575
287,8A24,86525
288,FE00,86474
289,0007,86468
290,24F2,86404
291,2600,86362
292,6300,86343
293,F224,86316
294,BF24,86253
295,24BF,86122
296,0024,85956
297,9797,85874
298,7300,85733
299,088B,85725
300,3267,85622
301,3B3B,85436
302,6732,85425
303,0A00,85407
304,B6B6,85347
305,8888,85239
306,001C,84974
307,0900,84854
308,8300,84851
309,32EE,84740
310,EE32,84598
311,4848,84564
312,4800,84539
313,0043,84458
314,006C,84216
315,5300,84026
316,6455,83778
317,00E9,83759
318,5593,83691
319,3030,83674
320,5564,83604
321,5562,83603
322,323C,83592
323,6255,83531
324,8989,83508
325,9355,83491
326,3C32,83461
327,7332,83450
328,000B,83296
329,4545,83248
330,3273,83238
331,8500,82853
332,50E8,82837
333,8D00,82709
334,C7C7,82628
335,4343,82499
336,5761,82476
337,1818,82449
338,0088,82446
339,00CC,82425
340,0009,82411
341,4900,82406
342,00C3,82265
343,0B0B,82208
344,1800,82199
345,1957,82100
346,5719,81951
347,0048,81784
348,FC00,81715
349,C700,81709
350,0014,81495
351,0026,81477
352,6157,81437
353,0073,81358
354,3300,80822
355,57DE,80562
356,DE57,80505
357,0D00,80459
358,0649,80444
359,00F0,80415
360,9757,80316
361,9A57,80275
362,2500,80258
363,5797,80248
364,579A,80241
365,6400,80209
366,0064,80062
367,0046,80022
368,4D00,79453
369,4906,79232
370,5E5E,79156
371,D9D9,79111
372,3200,79061
373,FF55,78702
374,8BEC,78672
375,C1C1,78483
376,0039,78462
377,45FC,78409
378,F212,78263
379,003B,78239
380,7106,78110
381,12F2,78052
382,0084,77946
383,5900,77927
384,8400,77816
385,06D5,77815
386,D506,77741
387,0671,77728
388,7225,77542
389,06D9,77532
390,0018,77520
391,2572,77487
392,D172,77417
393,D906,77361
394,72D1,77206
395,F272,77142
396,F000,77102
397,72BF,77041
398,EBEB,76972
399,728A,76892
400,72F2,76871
401,BF72,76846
402,8A72,76840
403,0090,76684
404,0019,76611
405,8484,76411
406,1201,76370
407,385B,76289
408,9D5B,75974
409,ECEC,75967
410,0032,75965
411,3D5B,75937
412,0045,75908
413,7D7D,75905
414,5B3D,75871
415,5500,75829
416,0025,75695
417,5200,75684
418,5B38,75676
419,5B9D,75671
420,4C24,75579
421,8800,75548
422,1900,75441
423,2C5B,75424
424,F25B,75242
425,5B2C,75195
426,5BF2,75159
427,C4C4,75144
428,0112,75099
429,0066,74980
430,FF8D,74373
431,1225,74157
432,2512,74157
433,F800,73897
434,004D,73865
435,2300,73594
436,0070,73467
437,FF50,73222
438,4E00,72944
439,0049,72718
440,4646,72647
441,C300,72643
442,4D5A,72617
443,7000,72316
444,128A,72278
445,5A4D,72100
446,1500,71982
447,8A12,71881
448,1300,71812
449,8D45,71633
450,1521,71477
451,2115,71344
452,0110,71323
453,1100,71138
454,FCFF,71107
455,F201,70883
456,0060,70542
457,0052,70254
458,002B,69910
459,00C1,69454
460,2410,69358
461,0726,69252
462,2607,69249
463,E607,69127
464,0013,69122
465,8200,69056
466,000A,68998
467,3051,68898
468,8900,68834
469,005F,68819
470,0022,68651
471,B74D,68638
472,7607,68611
473,0051,68563
474,CA07,68553
475,0063,68537
476,07CA,68462
477,072B,68341
478,0776,68117
479,4D0E,68023
480,0E4D,68011
481,00F8,68003
482,FC8B,67970
483,C074,67921
484,4C00,67895
485,0F84,67880
486,07E6,67864
487,2B07,67835
488,9800,67679
489,9000,67661
490,005E,67658
491,108B,67569
492,C400,67548
493,4DB7,67522
494,5D00,67304
495,0011,67285
496,00C6,67203
497,3D00,67012
498,008A,67001
499,FF59,66912
500,4D8F,66876
501,8F4D,66814
502,01F2,66693
503,4DDF,66482
504,2200,66403
505,3900,66230
506,DF4D,66137
507,004C,66129
508,0082,66128
509,4F06,65992
510,064F,65844
511,9400,65839
512,005D,65735
513,00C4,65681
514,CACA,65573
515,0098,65539
516,4F00,65413
517,EB00,65312
518,C100,65238
519,7508,65223
520,5130,65187
521,8B44,65156
522,0021,65010
523,5138,64774
524,002D,64688
525,FD8B,64678
526,0015,64515
527,2100,64457
528,060A,64362
529,2D00,64306
530,002E,64284
531,0A06,64150
532,9200,64023
533,0812,63915
534,3851,63885
535,12BF,63838
536,3B00,63826
537,BF12,63785
538,1208,63770
539,C600,63726
540,D500,63714
541,007D,63574
542,7651,63413
543,0602,63398
544,E351,63265
545,5A00,63258
546,51E3,63256
547,6D00,63247
548,0206,63155
549,51F5,63151
550,5176,63147
551,0031,63104
552,0094,63073
553,F551,63000
554,0023,62972
555,4700,62969
556,00FC,62962
557,00D5,62949
558,0092,62925
559,004E,62869
560,CA00,62821
561,048B,62819
562,E900,62641
563,0041,62563
564,A900,62530
565,0D06,62395
566,060D,62350
567,7900,62203
568,4508,62165
569,9100,62122
570,3F00,61920
571,6700,61669
572,5100,61668
573,FF89,61608
574,007E,61556
575,B600,61284
576,1F00,61193
577,000D,61097
578,6600,61090
579,FDF7,61086
580,8A00,61017
581,5400,60981
582,0617,60844
583,1706,60773
584,00A0,60759
585,1564,60721
586,2E00,60699
587,00A3,60642
588,DE00,60625
589,6000,60504
590,F200,60375
591,9C00,60317
592,3100,60310
593,FF74,60228
594,FAFA,60190
595,00B6,60176
596,EC00,60100
597,009C,59986
598,1593,59984
599,005A,59964
600,00CA,59953
601,00F2,59903
602,6B00,59893
603,0A97,59833
604,9315,59731
605,5E00,59715
606,970A,59715
607,003D,59357
608,6C91,59335
609,916C,59259
610,996C,59180
611,6CBC,59174
612,6C99,59171
613,BC6C,59128
614,6CCD,59103
615,0054,59101
616,0091,59078
617,00DE,59076
618,CC00,58985
619,006B,58980
620,CD6C,58898
621,6CF4,58894
622,006D,58868
623,F46C,58859
624,00EC,58853
625,00B8,58702
626,00A9,58612
627,1B00,58565
628,061B,58504
629,156E,58467
630,6E15,58409
631,4B00,58393
632,7D00,58390
633,0047,58370
634,6415,58358
635,C38B,58354
636,0067,58295
637,8D4D,58287
638,1B06,58282
639,90F7,58172
640,004B,58094
641,1501,58070
642,1562,57909
643,6215,57877
644,001B,57687
645,8F00,57595
646,0076,57387
647,0115,57376
648,00D8,57369
649,8F8F,57341
650,0E00,57222
651,00B0,57215
652,007C,57171
653,5424,56994
654,7600,56959
655,001F,56587
656,0042,56568
657,0079,56562
658,8C00,56328
659,9006,56321
660,6712,56307
661,004A,56277
662,0690,56204
663,1267,56163
664,0FB6,56148
665,8BF0,56132
666,0201,56087
667,A000,56064
668,D8D8,55989
669,0638,55811
670,D800,55798
671,7A7A,55646
672,85FF,55610
673,9494,55596
674,3806,55580
675,0210,55559
676,008F,55492
677,5C00,55408
678,008C,55345
679,0102,55324
680,F101,55286
681,0034,55185
682,7E00,55107
683,0077,55100
684,EE12,55093
685,F400,55076
686,12EE,55069
687,B200,54946
688,0601,54885
689,00C2,54820
690,4A00,54708
691,9900,54509
692,3C12,54501
693,3800,54493
694,0610,54483
695,123C,54460
696,005C,54449
697,C745,54398
698,00B2,54334
699,2B00,54294
700,00D0,54216
701,0038,53962
702,D501,53925
703,9C01,53872
704,7700,53863
705,2408,53788
706,0310,53770
707,005B,53734
708,FF85,53722
709,3400,53669
710,00E0,53646
711,01D5,53644
712,9F00,53618
713,8BC6,53605
714,C806,53554
715,0106,53322
716,06C8,53308
717,1700,53240
718,063E,53239
719,3E06,53212
720,1006,53114
721,2404,53110
722,00F4,53104
723,ADAD,53103
724,004F,53101
725,0099,53073
726,A901,52997
727,01A9,52915
728,019C,52900
729,0058,52846
730,B000,52635
731,FBFF,52518
732,B800,52479
733,7312,52351
734,E000,52288
735,AD00,52276
736,FFE8,52248
737,D3D3,52213
738,3600,52203
739,E600,52197
740,0029,52171
741,1273,52160
742,1E00,52071
743,0D0A,51953
744,2006,51936
745,8B55,51882
746,00AD,51799
747,8B0D,51797
748,6200,51766
749,1001,51714
750,E1E1,51641
751,0078,51616
752,FD00,51606
753,0036,51601
754,01F1,51543
755,0620,51494
756,007A,51366
757,BF00,51356
758,7A00,51330
759,10FF,51235
760,0C8B,51157
761,1D00,51146
762,8C04,51061
763,00BA,51029
764,048C,51001
765,00D3,50980
766,FF01,50966
767,C404,50898
768,00E6,50897
769,A300,50879
770,00BF,50846
771,9595,50649
772,1A00,50648
773,7800,50582
774,7C00,50459
775,8B06,50384
776,001E,50370
777,009F,50159
778,1917,50153
779,001A,50150
780,000E,50129
781,0401,50093
782,0706,50090
783,5F00,50039
784,C200,50022
785,00E4,49952
786,2900,49945
787,0062,49890
788,0F85,49867
789,0017,49651
790,1719,49642
791,7100,49631
792,BC00,49605
793,AE00,49523
794,F417,49475
795,17CF,49457
796,00FD,49449
797,CF17,49399
798,17F4,49377
799,068B,49226
800,D000,49191
801,5F5E,49137
802,001D,49074
803,6A01,49062
804,BB00,49008
805,B817,49001
806,9217,48941
807,1792,48930
808,6574,48928
809,00AE,48910
810,BA00,48888
811,003C,48886
812,17B8,48877
813,0071,48711
814,7424,48636
815,5B00,48595
816,9300,48562
817,D300,48526
818,CF00,48401
819,56FF,48347
820,00BB,48343
821,01FF,48289
822,002C,48261
823,7661,48171
824,A400,48021
825,00A2,47996
826,00B9,47780
827,ED00,47693
828,F7E6,47658
829,5800,47650
830,D100,47631
831,F7EE,47625
832,8600,47605
833,00D1,47599
834,00CF,47575
835,08FF,47548
836,750C,47541
837,0806,47515
838,00BC,47491
839,2A00,47395
840,E400,47345
841,A200,47316
842,0093,47278
843,DBDB,47200
844,9D00,47184
845,9600,47177
846,6176,47150
847,1020,47118
848,003F,47099
849,0809,47083
850,2414,47082
851,F7E3,47070
852,00ED,47021
853,002A,47015
854,06FF,46925
855,568B,46906
856,00A8,46891
857,8BCE,46874
858,00DB,46865
859,2C00,46836
860,DC00,46834
861,8BC8,46761
862,0608,46626
863,CD00,46547
864,83EC,46537
865,3500,46527
866,00C9,46503
867,0603,46489
868,DB00,46486
869,F8FF,46410
870,0402,46361
871,9500,46331
872,B900,46293
873,0096,46246
874,57FF,46216
875,8E00,46201
876,FF06,46158
877,00F6,46146
878,00CD,46093
879,B300,46064
880,8B4C,46044
881,5657,46036
882,E100,46021
883,0086,45996
884,0204,45978
885,0233,45971
886,F7E1,45964
887,A800,45961
888,7676,45886
889,0607,45861
890,8700,45859
891,0D0E,45846
892,508B,45751
893,3C00,45747
894,7E13,45737
895,D308,45726
896,08D3,45697
897,00D4,45694
898,255C,45613
899,00D2,45538
900,00DC,45486
901,DF00,45480
902,AA00,45462
903,5A0D,45386
904,1002,45348
905,6F5C,45347
906,0306,45338
907,3A00,45249
908,7406,45177
909,0035,45133
910,B400,45133
911,0E0D,45068
912,BD00,45062
913,0908,45044
914,137E,45035
915,0886,44992
916,8608,44958
917,5C25,44945
918,D400,44942
919,324C,44933
920,00F7,44914
921,003A,44907
922,5C6F,44900
923,7F00,44873
924,00B4,44838
925,00A4,44833
926,5CE3,44833
927,E35C,44826
928,5CF9,44654
929,F95C,44582
930,5CD3,44514
931,508D,44450
932,0D5A,44434
933,0DDF,44404
934,AC00,44363
935,D35C,44331
936,00DD,44318
937,0104,44307
938,4C32,44263
939,3BA1,44250
940,00DF,44225
941,8F0D,44206
942,009D,44191
943,302E,44188
944,00AA,44178
945,DF0D,44167
946,9B00,44156
947,0604,44137
948,2010,44109
949,0D8F,44090
950,00D6,44086
951,008E,44072
952,00BE,44036
953,A13B,44017
954,7465,44005
955,B70D,44002
956,0087,43979
957,00B3,43938
958,0633,43930
959,0406,43924
960,0DB7,43896
961,F7E7,43875
962,33FF,43759
963,F100,43697
964,3BF5,43558
965,2002,43338
966,0810,43301
967,3BA4,43263
968,0650,43232
969,CB00,43228
970,523B,43208
971,BA3B,43163
972,3BBA,43149
973,3B52,43127
974,BE00,43096
975,FF25,43096
976,C40C,43094
977,F53B,43094
978,A43B,43090
979,D600,43071
980,C900,43055
981,007F,43046
982,FF6A,43010
983,7A08,42955
984,D200,42925
985,2418,42905
986,CE00,42905
987,00AC,42838
988,240C,42838
989,00E1,42717
990,00F1,42700
991,AEAE,42700
992,3E00,42690
993,AB00,42668
994,FF51,42616
995,56E8,42544
996,F900,42526
997,7510,42462
998,894D,42457
999,087A,42435
1000,3306,42432
1001,A600,42397
1002,C706,42392
1003,0095,42366
1004,00D9,42339
1005,DD00,42261
1006,FF33,42250
1007,F7E0,42174
1008,E200,42165
1009,F600,42152
1010,7506,42033
1011,A700,41966
1012,003E,41756
1013,9E00,41735
1014,00E2,41649
1015,D700,41633
1016,00CB,41629
1017,009B,41586
1018,FF68,41565
1019,0220,41541
1020,0489,41512
1021,00CE,41485
1022,1406,41371
1023,2001,41369
1024,0CFF,41269
