Id,Class,split,byte_length,truncated,padded,known_byte_count,unknown_byte_count,unknown_byte_ratio,entropy
1KjZ4An78sOytkzgRL0E,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,4.769445359508566
1OHzGWXBTlpyVsIPK3kj,1,train,221184,220160,0,197388,23796,0.10758463541666667,6.610281773090669
1SVleInitNjxByvsFbdm,9,train,1544192,1543168,0,1540400,3792,0.002455653183023873,5.616949145004556
1TLN456WuaqCsDr9pv0z,2,train,1937408,1936384,0,1928184,9224,0.004761000264270613,5.663026287632022
1Ue6El4YDMXcVmBsqkoF,8,train,126976,125952,0,117968,9008,0.07094254032258064,7.141492780917108
1aAwe4J9VHrsq8uEoZhf,1,train,528384,527360,0,498792,29592,0.0560047238372093,5.64686599410866
1ckp5Ye83yzjIilWQCfm,1,train,421888,420864,0,412804,9084,0.021531780946601943,6.898664165815271
1esMpo6SAPHiTUGEb3Bt,8,train,126976,125952,0,117968,9008,0.07094254032258064,7.071377982679242
1gQDa4l9cNBbkO7n5IY0,1,train,372736,371712,0,350768,21968,0.05893715659340659,6.937835870515734
1i2SThtkCGEplHeoJxqI,6,train,1028096,1027072,0,1015924,12172,0.011839361304780877,6.767042156369734
1iWTJCzlSZgempU2xf04,7,test,1257472,1256448,0,11080,1246392,0.9911886706026058,3.8362278384149664
1jinhWv67o4ODebAw5Q2,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,4.762156339754698
1nLqk0H5NYdR4OiJ6mob,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,4.780435987881258
1rbXZBI9R3EleQDH74Sk,2,train,159744,158720,0,138264,21480,0.13446514423076922,6.484085509820492
1sOzen4EwI3a2UkSJmT5,8,train,126976,125952,0,118412,8564,0.06744581653225806,7.010954630566754
1uCWzmkyoKRNPS4XHcnf,3,train,2342912,2341888,0,792932,1549980,0.6615613390515734,7.993794269376777
279EOCqmnPGMfixzTuwJ,3,train,2342912,2341888,0,852836,1490076,0.6359931572333916,7.982391565241385
283STBsQaI7Pw9qf0tjy,2,val,114688,113664,0,96920,17768,0.15492466517857142,6.413170430514338
2ITFtqynN5lOsP378RaC,3,train,2342912,2341888,0,806756,1536156,0.6556609894012237,7.991949338612448
2O8w7LMDfCgRhnvNuetV,2,test,2912256,2911232,0,2904356,7900,0.002712673611111111,5.596574037284939
2SWx845krYqTjzQGstVZ,8,train,393216,392192,0,163804,229412,0.5834248860677084,5.3050482046374965
2UBy1ZDIiOxJHNnX35Mf,7,val,1470464,1469440,0,11084,1459380,0.9924622432103064,5.140608379180755
2VhINMP4oKmsnjZkY38U,4,train,172032,171008,0,93668,78364,0.45551990327380953,7.893873291819017
2XoqdSMTgrZKACjPynfW,3,train,2342912,2341888,0,851300,1491612,0.636648751638986,7.982252195299402
2aHfrLhcPTj5GnFZXUCN,5,train,1052672,1051648,0,262220,790452,0.750900565418288,7.863148400185878
2bZlmksaBHeNDVnf9PRx,8,train,126976,125952,0,118412,8564,0.06744581653225806,7.132834515436706
2fmDnKjO0Ev1VYc4MhPs,3,test,2347008,2345984,0,848740,1498268,0.6383736229275742,7.980316061003165
2g4C03AeqoZR6ctiF1Qr,4,train,65536,64512,0,29540,35996,0.54925537109375,7.568801519217702
2g9xU7Md0IsoLb5f4QPR,6,train,163840,162816,0,163636,204,0.0012451171875,7.530381885971126
2i5N9Ftj3xoySflKzbAC,9,val,602112,601088,0,188112,414000,0.6875797193877551,5.359075714065025
2mYSX6J9Dd5lkpLuNMc8,4,train,643072,642048,0,292688,350384,0.544859673566879,7.9835296968744975
2naY3OZxS1g8HTqE07ew,9,val,1482752,1481728,0,1481340,1412,0.0009522833218232044,5.600737463787528
2oM4SOUtRKpCVxlXEmeN,3,train,2342912,2341888,0,850788,1492124,0.6368672831075175,7.9826112446066615
2pwjzv6eGEb8QmHPfxSc,5,train,331776,330752,0,260292,71484,0.21545862268518517,7.856380106233778
2qAtoGOuMQZdmH3y7bEY,5,train,1482752,1481728,0,269452,1213300,0.8182757467196132,7.79071319264145
2r0UYLcKCxnRovpj5dlQ,7,train,1511424,1510400,0,1507684,3740,0.002474487635501355,4.256435409857232
2wyvEnXdNFbxaAWr1Dok,8,train,356352,355328,0,126728,229624,0.6443741020114943,4.966313828884447
2xlhAE5LO8RFfczB6ep3,7,val,1462272,1461248,0,11084,1451188,0.9924200148809523,3.6288645646385973
2xysDc6OgM8z9KJ0A43P,8,train,315392,314368,0,85820,229572,0.7278941761363636,5.137520464693223
2zsVAYPQrf3GFoD5JhC0,3,train,3125248,3124224,0,1606500,1518748,0.48596079415137616,7.994195298530609
31lyTKsufPDUhgebwzQm,3,train,2342912,2341888,0,850276,1492636,0.637085814576049,7.982653262408778
35dbDR8KSIwZNAPlcgTi,7,val,1245184,1244160,0,6476,1238708,0.994799162212171,4.862589325606459
36mPaSFkA7gVLnCbhqTt,8,train,126976,125952,0,117968,9008,0.07094254032258064,7.142720911918229
36zPKsYmJc8wOiEqStFN,2,train,2437120,2436096,0,2425808,11312,0.004641544117647059,5.084147027969168
39YX8jkenM2UHOvCRDq5,9,train,249856,248832,0,248232,1624,0.006499743852459016,5.818504340309107
3AnwI4dqXDW8PQ7ijCKm,1,train,147456,146432,0,124728,22728,0.15413411458333334,7.269342258608006
3ESs1rk0uyp9wlGgFaKj,9,train,217088,216064,0,215616,1472,0.006780660377358491,5.463534653207653
3Fc2OQgjnfUebXqh5HWp,8,test,126976,125952,0,117968,9008,0.07094254032258064,6.783775512219505
3Fq0zG8mAv7H6O9nSyuj,2,train,1650688,1649664,0,1645764,4924,0.002982998604218362,6.140804046732092
3Fv8npJNEqWBSmi6OxXw,3,train,2342912,2341888,0,852836,1490076,0.6359931572333916,7.978894720582211
3FzBIgOhHKlnYspCXWLa,3,test,2342912,2341888,0,848740,1494172,0.6377414089816433,7.984414551450152
3OnykHo5geP1NAf6WVIw,9,train,1323008,1321984,0,1322492,516,0.0003900203173374613,6.98720108240592
3Q8Wvm1ceyOhSajNdCUb,4,train,643072,642048,0,283948,359124,0.5584506867038217,7.985173438838338
3RiBw0ntobeCh5VEQrY1,4,train,176128,175104,0,107848,68280,0.38767260174418605,7.8975329846507325
3dstJNajYRkxEV4g0nA6,3,test,2342912,2341888,0,852836,1490076,0.6359931572333916,7.982087412213677
3f0X7rvJBx4RQSbUcT15,2,train,2019328,2018304,0,2005592,13736,0.006802262931034483,5.870088423796279
3m8kb5ILPrHcMC1o9Nht,5,train,1171456,1170432,0,248136,923320,0.7881815450174825,7.874066156944668
3mpsxg2FODqCAXHbMKPi,7,train,1245184,1244160,0,10572,1234612,0.9915096885279605,5.070708794918941
3x9R8E6Gv5JhDda2eoq4,3,train,2347008,2345984,0,848740,1498268,0.6383736229275742,7.984356229722199
3yHaDhqlkp67fzMQAgxc,1,train,208896,207872,0,200024,8872,0.04247089460784314,6.850619270329035
3zZpqyclD9B2v5Qas18m,5,train,2592768,2591744,0,266000,2326768,0.8974069411532386,7.770922666377414
40KRbGeQZ8PwcUgt5joa,5,train,532480,531456,0,259472,273008,0.5127103365384615,7.88528698608161
40Mg1k2UlPuQcsEotIej,9,train,262144,261120,0,260148,1996,0.0076141357421875,5.478715604546118
4AuqM30HyOajgr8SleRL,4,val,643072,642048,0,295776,347296,0.5400577229299363,7.978333302275058
4EkPyotphi7jl8g3r2JH,8,train,126976,125952,0,118412,8564,0.06744581653225806,7.052296055954887
4Eo8QvuZFWCBR6i0rhs7,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,5.186698534274643
4FdKAHtfpGS1hCjgyNJo,8,train,126976,125952,0,117968,9008,0.07094254032258064,7.062854866468831
4GUJ7HBXO8I56WyRSMQd,4,val,643072,642048,0,298840,344232,0.5352930931528662,7.983239478711159
4PIo3NbSDfGxFc8gQ9M0,6,train,520192,519168,0,501860,18332,0.03524083415354331,6.671931354678037
4UTMdcZkxzLvwygO8EuK,5,train,2318336,2317312,0,265632,2052704,0.8854212676678446,7.884539586382325
4YUVqM7twOzoH2ABPJIi,7,train,1388544,1387520,0,11084,1377460,0.9920175377949852,4.934417781678353
4ZVUhT8gufvReG2XS51w,8,train,126976,125952,0,117968,9008,0.07094254032258064,6.7334207477416
4aMbnHlA9es8vKmOFR2Z,4,train,131072,130048,0,95200,35872,0.273681640625,7.948797781565535
4g2UZv3nOGWbTCiptDsQ,1,train,155648,154624,0,155292,356,0.0022872121710526315,7.066559911937665
4j5ZXQI3ghezluq1snEp,4,train,196608,195584,0,139720,56888,0.2893473307291667,7.906086196080193
4ng9zuri2Dtm5H8INwxF,9,test,1519616,1518592,0,1515824,3792,0.0024953672506738546,5.61760210572935
4pLtjmWkx3OYwiADERhg,2,train,528384,527360,0,523396,4988,0.009440104166666666,6.563873162122824
4suKxkVWNqFQZLB5UfXD,4,train,643072,642048,0,294216,348856,0.5424835788216561,7.979498442922624
4txzUmCskIHWrpBgLZM0,3,test,2347008,2345984,0,848740,1498268,0.6383736229275742,7.984553477854353
4vawJkZpDqzSU0FrANOm,3,train,2342912,2341888,0,852324,1490588,0.6362116887019231,7.981977976719666
52HWtsPqbBSn0awgkhTe,8,val,126976,125952,0,118412,8564,0.06744581653225806,6.771955717764209
57Y1sP8cgERT6OQyCJjN,9,train,847872,846848,0,828664,19208,0.022654362922705316,7.336698497958877
57aolZC6XSxqr2HiGsfV,7,val,1462272,1461248,0,11084,1451188,0.9924200148809523,4.45681220249452
57v6nKMC8lhLV34je2RW,2,train,2039808,2038784,0,2028680,11128,0.0054554154116465865,4.707468610832494
58BJu4mOfakNI1n9jKDV,2,train,2158592,2157568,0,2152684,5908,0.0027369692836812145,5.737293841679646
5EVhC0IMi1dNb7TtgxRa,7,train,1245184,1244160,0,6476,1238708,0.994799162212171,5.050167600206107
5FPfjxgv1adyEpBKGRqN,2,train,1671168,1670144,0,1659004,12164,0.007278741574754902,5.102459660203967
5JLHiDhkzyYPdTeuMqXb,4,train,188416,187392,0,100316,88100,0.467582370923913,7.929514014014163
5KZSxj8gGDcdu1bs0v76,1,train,671744,670720,0,663320,8424,0.012540491615853659,6.82007537014121
5Kj6AhNFgwEU9aeCXTOy,6,train,167936,166912,0,144628,23308,0.13879096798780488,6.559400507335033
5LFfKQjM4c1TNgmrEHpX,6,train,573440,572416,0,550284,23156,0.040380859375,7.526819897820927
5LaoOiqj82w0uQpWzDSf,9,train,167936,166912,0,167556,380,0.0022627667682926828,6.801008991375836
5MrYiQtEc4lwyBRWh8GJ,6,test,581632,580608,0,553840,27792,0.04778279049295775,7.5064423875418775
5QEDgGFSnVXWJLxUouBP,2,train,2027520,2026496,0,2014392,13128,0.006474905303030303,5.065104599738699
5Su9y2pdWjXihsICkxUF,1,test,143360,142336,0,134780,8580,0.059849330357142856,7.28802659571944
5VxRKX4N9ShuDZsqFepk,9,train,176128,175104,0,175796,332,0.0018849927325581396,6.638956907036846
5b6L7AeCpaJPYZX4Wqjf,8,train,126976,125952,0,117968,9008,0.07094254032258064,6.7836563611678065
5drRtkhwUeEg1WyBCXnF,9,train,229376,228352,0,227656,1720,0.007498604910714286,5.51089655090437
5iTN1hBtkRDLcF7JZYns,2,train,2121728,2120704,0,2106552,15176,0.007152660472972973,4.629510678680908
5mFA9kajVz67sSR8YNGL,1,train,294912,293888,0,281448,13464,0.045654296875,6.877648218278028
5mTjuSpdDG8k1IBHaPqY,7,train,1470464,1469440,0,11084,1459380,0.9924622432103064,4.848778946397806
5pwP8bUu32gVJDrRCIcL,3,train,2342912,2341888,0,854372,1488540,0.6353375628277972,7.980626115565397
5tMCNKDogQ2x7zwUbpcZ,5,train,1925120,1924096,0,280632,1644488,0.8542262300531915,7.884082614581806
5yeOrl2fKasq6BnStQ4G,2,train,299008,297984,0,281620,17388,0.058152290239726026,6.071782818469222
60DUJgelq3snQhyT5bxm,3,train,2342912,2341888,0,852836,1490076,0.6359931572333916,7.9825054130874475
61rgpy8Dx9SR4WBzaPtm,9,train,3239936,3238912,0,1404664,1835272,0.5664531645069533,7.44935035839909
65DnqP94QNtxbAHo1ucL,3,train,2342912,2341888,0,851300,1491612,0.636648751638986,7.984507555347859
65fRYHjJXpsLZdb8WFuy,2,val,475136,474112,0,456220,18916,0.039811759159482756,5.622262071655366
670isB8fzGbAXI3HmUoF,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,5.073832971574175
697TFDm0KRiZIgB4pJG1,7,val,1462272,1461248,0,11084,1451188,0.9924200148809523,5.226421495398531
6Cvyc7zMbZq5DfJprmXP,2,train,2498560,2497536,0,2483388,15172,0.006072297643442623,4.770326596770484
6Gl3BHUfNtrFQv5YJOym,6,train,258048,257024,0,103848,154200,0.5975632440476191,6.436631700350432
6HdwDkgvEnNh9cqlyfR7,4,train,643072,642048,0,305632,337440,0.5247312898089171,7.98770904217424
6JIAcqDxegQoLzdNM91w,4,test,155648,154624,0,100680,54968,0.3531558388157895,7.901557034693839
6JcOPhsUjbfXgnoQaHyN,6,train,303616,302592,0,302900,716,0.002358241989881956,7.758206044727064
6McvAWZj4285L7XPrwnE,7,train,1445888,1444864,0,11084,1434804,0.9923341226983002,5.405341145484125
6SMZ0wGN2p3hv9rFEVcb,1,train,274432,273408,0,255212,19220,0.07003556436567164,4.899209118317188
6VNXsCD0lueo1nw3KO5M,4,train,643072,642048,0,304584,338488,0.5263609673566879,7.989740464708746
6WauKLy80DTdQf5hjZx7,2,train,1205652,1204628,0,1194748,10904,0.009044069101200015,6.081221032351868
6XvS9xbnOsJKrGL30NZM,4,train,200704,199680,0,94048,106656,0.5314094387755102,7.927168415159967
6cYUST29aReytkJO4zXi,4,val,69632,68608,0,58848,10784,0.15487132352941177,7.8745941263615435
6cdHfleOSjY0BJxUZNMP,9,test,217088,216064,0,215504,1584,0.007296580188679245,5.63848330696984
6hFQvE8Ae5NfGVkHnC7t,2,train,69632,68608,0,24624,45008,0.6463694852941176,6.123277796677278
6hUFQKlg0x72GzZjJyI5,3,val,2342912,2341888,0,851812,1491100,0.6364302201704546,7.984682009125251
6kgpyCID8l4Pw7BYHTjM,8,val,196608,195584,0,149704,46904,0.23856608072916666,5.749416439189915
6lYnP71M2umQ3V4jJdLk,2,train,507904,506880,0,503480,4424,0.00871030745967742,5.465064931852392
6m2KfEwGe3bJakIr8Vhj,6,test,188416,187392,0,174704,13712,0.07277513586956522,7.967674790550637
6nyOgqz1XDCm9QsK4BRv,7,test,1462272,1461248,0,11084,1451188,0.9924200148809523,4.893666984787823
6tIbeDRa0jfnZYcFqVdL,1,train,176128,175104,0,148208,27920,0.15852107558139536,7.075634134832398
6tfq21R8nrIeSWAULNVk,3,train,2342912,2341888,0,851300,1491612,0.636648751638986,7.984080699795378
6tmqe5B8JDsQnyhGo7vP,2,test,2576384,2575360,0,2564796,11588,0.004497776728934817,5.970054669641593
6unp3PJlh9AoH5tsOE12,1,train,172032,171008,0,171748,284,0.0016508556547619048,7.6183674656048455
6wHyQ3DVLMBtsxnhGvmo,6,train,53248,52224,0,39024,14224,0.26712740384615385,7.735865577041869
6zGBMr2YkjqfXFtUb1Z4,3,train,2347008,2345984,0,849764,1497244,0.6379373227530541,7.979560180150784
723C8e4nNUKMLrQZYdpP,6,train,385024,384000,0,370804,14220,0.036932762632978726,7.980558705512911
72KpNMPtbRArxQLszX49,3,train,2347008,2345984,0,848740,1498268,0.6383736229275742,7.980108308635774
75qSAohLWYb60Hs24NUF,2,train,2121728,2120704,0,2111668,10060,0.004741418315637066,5.674426943024434
7A10IwRlFPe2x9KhagSV,1,train,122880,121856,0,108868,14012,0.11402994791666667,7.0280030007782335
7CAzl4vfXB9jtU5eaSPV,1,val,679936,678912,0,660368,19568,0.02877917921686747,7.25549795079513
7DLNKwxjz5AoPZtcXrHB,1,test,159744,158720,0,159412,332,0.0020783253205128205,6.636911522861915
7Ebd8M0gDHBRIjFvr6SQ,4,train,159744,158720,0,118572,41172,0.2577373798076923,7.872281925801454
7G3kjlrJTEBAdbepzQOc,3,train,2342912,2341888,0,852836,1490076,0.6359931572333916,7.9823990031888705
7GsWJqlM3kCt62axD5O8,4,train,65536,64512,0,46948,18588,0.28363037109375,7.774534018796992
7MQb5VEYLiSBPt1GZgeJ,1,train,356352,355328,0,344816,11536,0.03237248563218391,7.174127394718052
7SAUNtQf8RMmL904jxID,2,train,3907584,3906560,0,3901052,6532,0.0016716211346960168,5.584394596254132
7TOAFQ4IL2oain9Z1DRq,9,val,192512,191488,0,192164,348,0.0018076795212765956,5.432549299959581
7Tqx4LAfG8hZHivBO0CD,7,val,1462272,1461248,0,11084,1451188,0.9924200148809523,5.191727912947588
7Z54Kq6E2GTvgbyXunm8,8,val,126976,125952,0,117968,9008,0.07094254032258064,7.133613912391988
7akW4s9DnVjR20eflLYm,1,val,131072,130048,0,122468,8604,0.065643310546875,7.170959948165907
7cyYPthi5KmvXEs2NkRj,5,train,1658880,1657856,0,272572,1386308,0.8356891396604939,7.751937601841941
7lz9eQuHKTdVIfGYMrUn,3,train,2342912,2341888,0,850788,1492124,0.6368672831075175,7.982634343696537
7rLEfBjbiyXDU0Aewa4P,3,train,2342912,2341888,0,792420,1550492,0.6617798705201049,7.996966763617493
7uj5dveZfCAg4MWnorY0,2,train,1205576,1204552,0,1194196,11380,0.00943947125689297,6.120575394001723
7w9HgKIJmjx0cYnea243,2,train,1703936,1702912,0,1691704,12232,0.007178673377403846,5.80491659424063
7waVJqpLnoxz4fKsZv39,9,train,843776,842752,0,826140,17636,0.020901281856796117,7.3361750272831046
7yxCFjirtYhceaPuNZkD,9,train,1331200,1330176,0,1330796,404,0.0003034855769230769,6.447087257808721
80G5QtOzNdR9CVxTJ3Uv,1,train,2043904,2042880,0,2034468,9436,0.004616655185370741,7.558006524337253
81lKRfdtTgnpWqIUYMzo,3,train,2342912,2341888,0,851300,1491612,0.636648751638986,7.982405755063472
82L6irNBWpMQZ9DRlXKw,6,train,557056,556032,0,541808,15248,0.02737247242647059,7.973228746378366
86kXs2U1IEtu7d3fvxJY,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,5.164760779752394
8CKcwMWse2LIa9tkhGXE,6,val,606208,605184,0,593004,13204,0.02178130278716216,7.956540356392123
8JqbzxWR216yr3Ptgems,3,val,2342912,2341888,0,852836,1490076,0.6359931572333916,7.982428111258795
8VrlyPxXiEU2Bwg5ce3Q,9,test,1490944,1489920,0,1487760,3184,0.0021355597527472525,5.661712183712137
8XarpMwmLAk1gTDfYZol,9,train,1327104,1326080,0,1326756,348,0.00026222511574074077,6.453113067806048
8aIkyv7jJRcWpYOD9Ub1,8,train,364544,363520,0,134108,230436,0.6321212254213483,7.981549675597321
8gvOauLJb39wNfdAMDt6,2,test,2297856,2296832,0,2287940,9916,0.004315326983065954,4.574401861600297
8hIFCdlVcX0uxefwQ5E7,9,test,147456,146432,0,129828,17628,0.11954752604166667,7.281055371159279
8iZw1cMaPBr4RJzxlFXH,1,train,1024000,1022976,0,1006208,17792,0.017375,6.65083912274151
8jN4P37vE9ROTiHoZaDG,6,test,552960,551936,0,537712,15248,0.027575231481481482,7.976663906306926
8kVfT5MmuErjvdPsZxIY,7,train,1245184,1244160,0,6476,1238708,0.994799162212171,4.982749339657657
8lW0SucRGF2OTNLe7KZH,3,train,2347008,2345984,0,849764,1497244,0.6379373227530541,7.97977272416983
8mWh570SFDzATaLEeVH6,3,train,2347008,2345984,0,849764,1497244,0.6379373227530541,7.978293171090156
8odIrLKhPvcDWNCVasUl,4,test,212992,211968,0,100820,112172,0.5266488882211539,7.929758263920903
8vLGE0QNUBHaK3dt5hyl,7,train,1388544,1387520,0,11084,1377460,0.9920175377949852,5.073312302188153
8wSjurzyd3Z1UfgFJe6h,9,train,1503232,1502208,0,1501624,1608,0.0010696951634877384,5.628233419454632
8wiAzpNQEV07aXyR6DIl,4,val,643072,642048,0,295268,347804,0.5408476811305732,7.977743114865394
8wm2jYBqV30okUMfuDCd,5,train,1916928,1915904,0,291524,1625404,0.8479212573450855,7.730398228610328
93DFQGKTLxy8Ej6kwlPu,9,train,1331200,1330176,0,1330740,460,0.00034555288461538463,6.988735899132249
93a1FbpJTGSxjfNElrz6,2,val,479232,478208,0,462352,16880,0.035223023504273504,5.267807423681738
94dA6U1Diuc0rQxlyveO,1,train,217088,216064,0,193376,23712,0.10922759433962265,7.2089463065599855
974hJRWKfvXaTtNoqMGl,7,train,1454080,1453056,0,11084,1442996,0.9923773107394366,4.166254960067138
98fBSiA2Nul5EzmnC6kt,2,val,2306048,2305024,0,2297228,8820,0.0038247252442273534,4.6312549198789394
9AN1xYGCFidTnrJc5RUQ,3,train,2342912,2341888,0,792420,1550492,0.6617798705201049,7.996859782833978
9CVbzaWsLvcHjPqZu2Q3,4,val,135168,134144,0,100832,34336,0.2540246212121212,7.856663423302669
9CpcVP4NlA0n2hU7DzTY,4,train,671744,670720,0,278488,393256,0.585425400152439,7.981427400012487
9DauIvUMYJ15so3beSn0,4,train,217088,216064,0,113508,103580,0.47713369693396224,7.931309170808652
9KMBloOjwteu6ZxUhCzJ,2,train,299008,297984,0,278528,20480,0.0684931506849315,6.4130184583043235
9MFzgoiD3y0BXQGdY8vq,4,train,643072,642048,0,285000,358072,0.5568147890127388,7.979745469621124
9MKSaiLY4AtGDZfvRQ1E,4,train,188416,187392,0,100332,88084,0.46749745244565216,7.91651112678265
9PjuhOrlRqxHeQcEBYMX,3,train,2342912,2341888,0,854884,1488028,0.6351190313592657,7.976943093708005
9QRkLX8V3CAmUwb64aDJ,3,train,2342912,2341888,0,852836,1490076,0.6359931572333916,7.982543062655665
9XqeCuYvWS62VE5giIz0,2,val,2174976,2173952,0,2165372,9604,0.0044156809086629,5.7404357552946195
9dqPn4IQFJCw127aTVhp,6,train,139264,138240,0,126012,13252,0.09515739889705882,6.6701596211254905
9eMPNZm0jOhr1SLBDs46,4,val,643072,642048,0,297820,345252,0.5368792296974523,7.977095895592243
9eYt5hjsLfTizPRZ0aUJ,6,test,577536,576512,0,549228,28308,0.04901512632978723,7.4986374172419215
9gBVZNKoIPkFM8vOp45G,2,train,282624,281600,0,263684,18940,0.06701483242753623,6.185494801596796
9k7XsAPloT1qrQeV8RCa,1,train,282624,281600,0,271856,10768,0.038100090579710144,6.828441736249889
9l5grVFxD4EItfTnqmks,8,train,126976,125952,0,117968,9008,0.07094254032258064,7.143339913684231
9lHyVeXERtIaZcL4kWqM,4,val,65536,64512,0,43856,21680,0.330810546875,7.722070783713752
9ra6FlEPuhYQX72JAdzf,8,train,126976,125952,0,118412,8564,0.06744581653225806,6.71493606591112
9wOVdUL6r0SmjE1kAMxW,8,train,122880,121856,0,115908,6972,0.05673828125,6.786985157630785
9xTAMrBbq2ugRtDJ3lGU,2,train,1225856,1224832,0,1216196,9660,0.007880207789495667,6.248018780238027
A4Gwv2fplFCVaiSbKJN0,8,test,126976,125952,0,117968,9008,0.07094254032258064,7.066857252775378
AHErPLd2pTyWusBgXZOx,6,train,278528,277504,0,266352,12176,0.043715533088235295,7.975439677792568
AJBxQN3qer6FYj1RkbdU,9,val,192512,191488,0,187944,4568,0.023728390957446808,5.440215242343456
AK0WapSl9V5GYu1HsxLB,6,train,290816,289792,0,148152,142664,0.4905644806338028,4.354537964042963
